eps	abs_m	Cv	chi
-1.73175	0.802358	0.0076262	0.00279484
-1.73169	0.8024	0.00760937	0.00278844
-1.73164	0.802324	0.00759261	0.00278251
-1.73152	0.802201	0.00758106	0.00277759
-1.73096	0.801682	0.00769932	0.00279988
-1.73042	0.801259	0.00780542	0.00281254
-1.73028	0.801163	0.00779574	0.00280699
-1.73021	0.80109	0.00777977	0.00280104
-1.73023	0.801204	0.00776198	0.00279593
-1.73058	0.801501	0.00779574	0.00279903
-1.73053	0.801567	0.00777875	0.00279305
-1.7306	0.801655	0.00776286	0.00278748
-1.73083	0.801858	0.00776767	0.00278555
-1.73096	0.802059	0.00775789	0.00278361
-1.73119	0.802283	0.00776252	0.00278272
-1.73144	0.802528	0.00777174	0.00278297
-1.73145	0.802636	0.00775425	0.00277792
-1.73166	0.802857	0.0077544	0.00277698
-1.73197	0.803145	0.00778006	0.00277982
-1.73217	0.803296	0.00777995	0.00277607
-1.73236	0.803446	0.00777977	0.00277231
-1.73245	0.803528	0.00776546	0.00276683
-1.73233	0.803363	0.0077542	0.00276365
-1.73206	0.803154	0.00777026	0.00276233
-1.73199	0.803013	0.00775521	0.00275839
-1.73178	0.80294	0.00775674	0.00275285
-1.73151	0.802711	0.00777238	0.00275261
-1.73122	0.802395	0.00779341	0.00275777
-1.73091	0.801947	0.00782019	0.00277427
-1.73049	0.801391	0.00788321	0.0028031
-1.73007	0.800881	0.00794559	0.00282635
-1.7298	0.800571	0.00795974	0.00283102
-1.72956	0.800285	0.00796867	0.00283414
-1.72941	0.800197	0.0079618	0.00282882
-1.72926	0.800131	0.00795491	0.00282314
-1.72915	0.800065	0.00794285	0.00281748
-1.72915	0.80013	0.00792559	0.00281184
-1.72918	0.800239	0.00790865	0.00280709
-1.72935	0.800455	0.00790564	0.00280639
-1.72959	0.800605	0.00791495	0.00280293
-1.72989	0.800862	0.00794029	0.00280456
-1.73004	0.801032	0.00793376	0.00280188
-1.73019	0.801245	0.00792722	0.00280111
-1.73026	0.80137	0.00791214	0.00279696
-1.73036	0.801538	0.00790051	0.00279428
-1.73058	0.80177	0.00790479	0.00279458
-1.7307	0.801894	0.00789546	0.00279043
-1.73062	0.801953	0.00788221	0.00278493
-1.73072	0.802076	0.00787067	0.00278081
-1.73082	0.802156	0.00785915	0.00277569
-1.73093	0.802257	0.00784766	0.00277104
-1.73112	0.802442	0.00784781	0.00276925
-1.73103	0.802458	0.00783486	0.00276346
-1.73103	0.802516	0.00781844	0.00275806
-1.73094	0.802531	0.0078056	0.00275232
-1.73102	0.802651	0.00779248	0.00274829
-1.73104	0.802771	0.00777641	0.00274428
-1.7311	0.802869	0.00776199	0.00273973
-1.73129	0.803091	0.00776225	0.00273999
-1.73151	0.803313	0.00777059	0.00274022
-1.73174	0.803554	0.00777881	0.00274157
-1.73188	0.803608	0.00777236	0.00273628
-1.73181	0.803642	0.00775845	0.00273079
-1.73172	0.803655	0.0077461	0.0027252
-1.73191	0.80377	0.00774616	0.00272124
-1.73204	0.803845	0.00773979	0.00271635
-1.73218	0.803878	0.00773339	0.00271094
-1.73222	0.803849	0.00771829	0.00270551
-1.73244	0.804045	0.00772616	0.0027047
-1.73266	0.80426	0.00773391	0.0027049
-1.73267	0.804332	0.00771837	0.00270007
-1.73275	0.804465	0.00770558	0.00269678
-1.73276	0.804577	0.00769015	0.0026929
-1.7329	0.804728	0.00768376	0.00269034
-1.73311	0.8049	0.00769132	0.00268858
-1.73341	0.80515	0.00771905	0.00269101
-1.73368	0.8054	0.00774086	0.00269341
-1.73389	0.805589	0.00774792	0.00269249
-1.73402	0.805717	0.00774118	0.00268919
-1.7339	0.805606	0.00773392	0.00268538
-1.73383	0.805536	0.00772085	0.00268068
-1.7339	0.805545	0.00770815	0.00267538
-1.73403	0.805652	0.00770153	0.00267156
-1.73416	0.80572	0.00769491	0.00266687
