eps	abs_m	Cv	chi
-1.22192	0.238893	0.00361471	0.0264746
-1.22224	0.237078	0.00360838	0.0264939
-1.22291	0.235016	0.00362088	0.0265445
-1.22377	0.232935	0.00364902	0.0265983
-1.22434	0.23074	0.00365456	0.0266685
-1.22455	0.22875	0.00364524	0.0267112
-1.22476	0.226613	0.00363596	0.0267742
-1.22554	0.224236	0.00365753	0.0268733
-1.22648	0.221746	0.00369356	0.0269907
-1.22741	0.219019	0.00372905	0.0271493
-1.2282	0.216562	0.00375212	0.0272625
-1.22903	0.214057	0.00377762	0.0273839
-1.23003	0.211254	0.00382168	0.0275583
-1.23144	0.208125	0.00391924	0.0277975
-1.23234	0.205265	0.00395192	0.0279836
-1.23354	0.202298	0.00402043	0.028191
-1.23446	0.199536	0.00405507	0.0283597
-1.23519	0.196852	0.00407219	0.0285145
-1.23625	0.194	0.00412298	0.0287012
-1.23752	0.19092	0.00420122	0.0289343
-1.23844	0.188287	0.0042368	0.0290812
-1.23909	0.186037	0.0042475	0.0291651
-1.23948	0.184073	0.00424361	0.0292082
-1.23979	0.182364	0.00423605	0.0292198
-1.23979	0.180846	0.00422325	0.0292107
-1.23988	0.179458	0.00421101	0.0291892
-1.2403	0.177838	0.00420857	0.0291923
-1.24012	0.176617	0.00419785	0.0291566
-1.24015	0.175134	0.00418537	0.029146
-1.24024	0.173631	0.00417337	0.0291381
-1.24018	0.172463	0.0041612	0.0290994
-1.24033	0.170976	0.00415016	0.0290909
-1.24024	0.169735	0.00413839	0.0290594
-1.24024	0.168382	0.00412622	0.0290385
-1.2407	0.166598	0.00412707	0.0290661
-1.24117	0.165146	0.00412785	0.029056
-1.24102	0.163936	0.00411714	0.0290234
-1.24108	0.162791	0.00410535	0.0289859
-1.24107	0.161768	0.00409345	0.0289394
-1.24118	0.160694	0.00408238	0.0288972
-1.24147	0.159222	0.00407548	0.028892
-1.24178	0.157874	0.00406963	0.0288747
-1.24226	0.156246	0.00407201	0.0288879
-1.24291	0.154429	0.00408603	0.0289255
-1.24339	0.152707	0.00408815	0.0289512
-1.24341	0.151307	0.00407656	0.0289406
-1.24385	0.149348	0.00407704	0.0289993
-1.2441	0.147655	0.00406915	0.0290228
-1.24448	0.145831	0.0040667	0.0290637
-1.24534	0.143624	0.00410066	0.0291623
-1.24602	0.141485	0.00411821	0.0292503
-1.24701	0.139358	0.0041673	0.0293368
-1.24786	0.137047	0.00419996	0.0294541
-1.24853	0.134944	0.00421649	0.0295377
-1.24886	0.132964	0.00421189	0.0296029
-1.24978	0.130691	0.0042527	0.0297155
-1.25085	0.128347	0.00431361	0.0298407
-1.25154	0.126154	0.00433128	0.0299407
-1.25184	0.124356	0.004325	0.0299812
-1.2527	0.12224	0.00436106	0.0300694
-1.25335	0.120572	0.00437575	0.0300936
-1.25405	0.118859	0.00439485	0.0301241
-1.25455	0.117182	0.00439916	0.0301503
-1.2553	0.115514	0.00442277	0.0301757
-1.25563	0.113989	0.00441811	0.0301839
-1.25575	0.112823	0.00440715	0.0301554
-1.25566	0.111716	0.00439593	0.030122
-1.25535	0.111203	0.00439037	0.0300517
-1.25563	0.11016	0.00438372	0.0300139
-1.25585	0.10891	0.00437534	0.0299952
-1.25597	0.10756	0.00436463	0.029987
-1.25648	0.106032	0.00437032	0.0299994
-1.25686	0.104459	0.0043682	0.0300176
-1.25687	0.103474	0.00435671	0.0299769
-1.25698	0.102493	0.00434612	0.0299363
-1.25681	0.101859	0.00433678	0.0298739
-1.25658	0.101332	0.00432886	0.029807
-1.25661	0.100495	0.00431767	0.0297573
-1.25675	0.0996883	0.00430774	0.029706
-1.25666	0.0988601	0.00429718	0.0296565
-1.25672	0.0981137	0.00428632	0.0296023
-1.2567	0.0971907	0.0042753	0.0295604
-1.25715	0.096144	0.00427768	0.0295287
-1.25746	0.0949744	0.00427341	0.0295084
-1.25783	0.0940153	0.00427148	0.0294703
-1.25811	0.0932398	0.00426614	0.0294196
-1.2585	0.0925954	0.00426545	0.0293617
-1.25853	0.0920305	0.00425468	0.0293002
-1.25828	0.0918734	0.00424817	0.0292271
-1.25879	0.0914394	0.00425523	0.029161
-1.25892	0.0910579	0.00424566	0.0290936
-1.25915	0.0910302	0.0042386	0.0290205
-1.25917	0.0912782	0.00422803	0.0289503
-1.25877	0.0921	0.00422843	0.028906
-1.25853	0.0932668	0.0042221	0.0288906
-1.25836	0.0946269	0.00421362	0.028896
-1.25814	0.0957072	0.00420652	0.0288732
-1.25772	0.0971782	0.00420822	0.0288926
-1.25731	0.0986173	0.00420986	0.0289084
-1.25682	0.100271	0.0042161	0.0289526
-1.25651	0.101597	0.00421258	0.0289558
-1.25608	0.102892	0.00421548	0.0289559
-1.25557	0.103863	0.00422316	0.0289252
-1.25476	0.104951	0.00426043	0.0289051
-1.25392	0.105912	0.00430015	0.0288742
-1.25333	0.107209	0.00431472	0.0288761
-1.25274	0.108547	0.0043291	0.0288831
-1.25246	0.109444	0.00432396	0.0288479
-1.2521	0.11041	0.00432324	0.0288186
-1.25168	0.110889	0.00432518	0.0287593
-1.25146	0.110983	0.0043183	0.0286907
-1.25129	0.110742	0.00431008	0.0286246
-1.2515	0.110215	0.00430305	0.0285683
-1.25195	0.109619	0.00430746	0.0285158
-1.25233	0.108907	0.0043075	0.0284702
-1.25237	0.108294	0.00429742	0.0284193
-1.25251	0.107565	0.00428862	0.0283754
-1.25278	0.106958	0.00428415	0.0283248
-1.25301	0.106188	0.00427792	0.0282843
-1.25305	0.105376	0.00426799	0.0282471
-1.25274	0.105059	0.00426518	0.0281854
-1.25227	0.105117	0.00427185	0.0281197
-1.25182	0.105385	0.00427682	0.0280574
-1.25184	0.105465	0.0042669	0.0279924
